Name;DataType;Length;Coding;Address
CMD_EXTRUSORI.EXTA.PARAMETEI_IN_EX.PARAMETRI_MOT.GIRI_MOTORE_MAX;Real;4;IEEE754;%DB2000.DBD11730
CMD_EXTRUSORI.EXTA.PARAMETEI_IN_EX.PARAMETRI_MOT.RAPPORTO_RIDUZIONE;Real;4;IEEE754;%DB2000.DBD11734
CMD_EXTRUSORI.EXTA.PARAMETEI_IN_EX.PARAMETRI_MOT.VELOCITA_INVERTER;Real;4;IEEE754;%DB2000.DBD11738
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_EX.REALE_VELOCITA;Real;4;IEEE754;%DB2000.DBD11742
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_EX.REALE_CORRENTE;Real;4;IEEE754;%DB2000.DBD11746
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_EX.REALE_CORRENTE_PERCENTUALE;Real;4;IEEE754;%DB2000.DBD11750
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_EX.REALE_COPPIA;Real;4;IEEE754;%DB2000.DBD11754
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_EX.IN_RUN;Bool;1;Binary;%DB2000.DBX11758.0
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_EX.ANOMALIA_ATTIVA;Bool;1;Binary;%DB2000.DBX11758.1
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_EX.AVVISO_ATTIVO;Bool;1;Binary;%DB2000.DBX11758.2
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.NOME;String;254;Binary;%DB2000.DBX11760.0
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.START;Bool;1;Binary;%DB2000.DBX12016.0
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.INVERSIONE;Bool;1;Binary;%DB2000.DBX12016.1
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.ACC_ALLARMI;Bool;1;Binary;%DB2000.DBX12016.2
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.RESET_ALLARMI;Bool;1;Binary;%DB2000.DBX12016.3
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.SET_VELOCITA;Real;4;IEEE754;%DB2000.DBD12018
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.SET_COPPIA;Real;4;IEEE754;%DB2000.DBD12022
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.PARAMETRI_MOT.MAX_VELOCITA;Real;4;IEEE754;%DB2000.DBD12026
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.PARAMETRI_MOT.MAX_CORRENTE;Real;4;IEEE754;%DB2000.DBD12030
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.PARAMETRI_MOT.MAX_COPPIA;Real;4;IEEE754;%DB2000.DBD12034
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.PARAMETRI_MOT.GIRI_MOTORE_MAX;Real;4;IEEE754;%DB2000.DBD12038
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.PARAMETRI_MOT.RAPPORTO_RIDUZIONE;Real;4;IEEE754;%DB2000.DBD12042
CMD_EXTRUSORI.EXTA.PARAMETRI_IN_POMPA.PARAMETRI_MOT.VELOCITA_INVERTER;Real;4;IEEE754;%DB2000.DBD12046
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_POMPA.REALE_VELOCITA;Real;4;IEEE754;%DB2000.DBD12050
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_POMPA.REALE_CORRENTE;Real;4;IEEE754;%DB2000.DBD12054
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_POMPA.REALE_CORRENTE_PERCENTUALE;Real;4;IEEE754;%DB2000.DBD12058
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_POMPA.REALE_COPPIA;Real;4;IEEE754;%DB2000.DBD12062
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_POMPA.IN_RUN;Bool;1;Binary;%DB2000.DBX12066.0
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_POMPA.ANOMALIA_ATTIVA;Bool;1;Binary;%DB2000.DBX12066.1
CMD_EXTRUSORI.EXTA.PARAMETRI_OUT_POMPA.AVVISO_ATTIVO;Bool;1;Binary;%DB2000.DBX12066.2
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MAX_PRESSIONE_OLIO.NOME;String;254;Binary;%DB2000.DBX12068.0
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MAX_PRESSIONE_OLIO.SET_X_MIN;Real;4;IEEE754;%DB2000.DBD12324
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MAX_PRESSIONE_OLIO.SET_X_MAX;Real;4;IEEE754;%DB2000.DBD12328
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MAX_PRESSIONE_OLIO.SET_Y_MIN;Real;4;IEEE754;%DB2000.DBD12332
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MAX_PRESSIONE_OLIO.SET_Y_MAX;Real;4;IEEE754;%DB2000.DBD12336
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MAX_PRESSIONE_OLIO.OUT_VALORE_ING;Real;4;IEEE754;%DB2000.DBD12340
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MIN_PRESSIONE_OLIO.NOME;String;254;Binary;%DB2000.DBX12344.0
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MIN_PRESSIONE_OLIO.SET_X_MIN;Real;4;IEEE754;%DB2000.DBD12600
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MIN_PRESSIONE_OLIO.SET_X_MAX;Real;4;IEEE754;%DB2000.DBD12604
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MIN_PRESSIONE_OLIO.SET_Y_MIN;Real;4;IEEE754;%DB2000.DBD12608
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MIN_PRESSIONE_OLIO.SET_Y_MAX;Real;4;IEEE754;%DB2000.DBD12612
CMD_EXTRUSORI.EXTB.OLIO_EX.SENSORE_MIN_PRESSIONE_OLIO.OUT_VALORE_ING;Real;4;IEEE754;%DB2000.DBD12616
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.NONE;String;10;Binary;%DB2000.DBX12620.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.AUTO_MAN;Bool;1;Binary;%DB2000.DBX12632.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.MAN_CMD;Bool;1;Binary;%DB2000.DBX12632.1
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.MAIN_ALARM;Bool;1;Binary;%DB2000.DBX12632.2
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.CONFIG.T_ON;Real;4;IEEE754;%DB2000.DBD12634
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.CONFIG.T_OFF;Real;4;IEEE754;%DB2000.DBD12638
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.ALARM.LOCAL_ALARM;Bool;1;Binary;%DB2000.DBX12642.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.ALARM.MAIN_ALARM;Bool;1;Binary;%DB2000.DBX12642.1
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.OUTPUT.STATO;String;10;Binary;%DB2000.DBX12644.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_EX.OUTPUT.CMD;Bool;1;Binary;%DB2000.DBX12656.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.NONE;String;10;Binary;%DB2000.DBX12658.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.AUTO_MAN;Bool;1;Binary;%DB2000.DBX12670.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.MAN_CMD;Bool;1;Binary;%DB2000.DBX12670.1
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.MAIN_ALARM;Bool;1;Binary;%DB2000.DBX12670.2
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.CONFIG.T_ON;Real;4;IEEE754;%DB2000.DBD12672
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.CONFIG.T_OFF;Real;4;IEEE754;%DB2000.DBD12676
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.ALARM.LOCAL_ALARM;Bool;1;Binary;%DB2000.DBX12680.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.ALARM.MAIN_ALARM;Bool;1;Binary;%DB2000.DBX12680.1
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.OUTPUT.STATO;String;10;Binary;%DB2000.DBX12682.0
CMD_EXTRUSORI.EXTB.SERVOVENTOLA_POMPA.OUTPUT.CMD;Bool;1;Binary;%DB2000.DBX12694.0
CMD_EXTRUSORI.EXTB.START_LINEA_ESTRUSORE;Bool;1;Binary;%DB2000.DBX12696.0
